                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8064,                 2.3715,                 1.0375,                0.28392,                0.16931,                0.12343,                0.06606,                 1.6873,                 1.5349,                 1.0027,             0.00023741,             0.00023741,             0.00023741
                      2,                 1.6601,                 1.5687,                0.99761,                0.21299,                0.21013,                0.16405,                0.09017,                 1.6368,                 1.3767,                0.96788,             0.00042835,             0.00042835,             0.00042835
                      3,                 1.6219,                 1.4506,                0.98698,                0.26349,                0.22316,                 0.1876,                0.10164,                 1.6474,                 1.3656,                0.97087,             0.00057216,             0.00057216,             0.00057216
                      4,                 1.5921,                 1.3704,                0.97829,                0.29308,                0.24492,                0.20828,                0.11476,                 1.5743,                 1.2661,                0.96092,             0.00050194,             0.00050194,             0.00050194
                      5,                 1.5597,                 1.3072,                0.97102,                0.31471,                0.24475,                0.21604,                0.12091,                 1.5581,                 1.2556,                0.95464,             0.00050194,             0.00050194,             0.00050194
                      6,                 1.5367,                 1.2634,                0.96463,                0.34157,                0.25425,                0.23162,                0.12849,                  1.534,                 1.2077,                0.95354,             0.00043126,             0.00043126,             0.00043126
                      7,                 1.5155,                 1.2212,                0.95909,                0.34494,                0.25814,                0.23363,                0.13166,                 1.5246,                 1.2012,                0.95047,             0.00036057,             0.00036057,             0.00036057
                      8,                 1.4956,                 1.1893,                0.95378,                0.32388,                0.26419,                 0.2436,                0.13648,                 1.5206,                 1.1758,                0.94597,             0.00028988,             0.00028988,             0.00028988
                      9,                 1.4746,                 1.1541,                0.94769,                 0.3514,                0.27509,                 0.2548,                0.14448,                 1.4782,                 1.1367,                0.93855,              0.0002192,              0.0002192,              0.0002192
                     10,                 1.4603,                 1.1341,                0.94391,                0.34752,                0.27246,                0.25553,                0.14695,                 1.4653,                 1.1287,                0.93507,             0.00014851,             0.00014851,             0.00014851
