                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8483,                 2.4211,                 1.0499,                0.38123,                0.15146,                0.11618,                0.06173,                 1.7636,                 1.5852,                 1.0236,             0.00023741,             0.00023741,             0.00023741
                      2,                 1.7215,                 1.6243,                 1.0135,                0.21701,                0.19286,                0.16003,                0.08703,                 1.6806,                 1.4218,                0.98263,             0.00042835,             0.00042835,             0.00042835
                      3,                  1.687,                 1.4983,                 1.0024,                0.25735,                0.21354,                0.18121,                0.09838,                 1.6773,                 1.4045,                0.98327,             0.00057216,             0.00057216,             0.00057216
                      4,                 1.6622,                 1.4208,                0.99393,                0.28612,                0.22942,                0.19493,                0.10783,                 1.6419,                 1.3245,                0.97138,             0.00050194,             0.00050194,             0.00050194
                      5,                 1.6306,                 1.3627,                0.98674,                 0.3018,                0.22694,                0.19955,                0.11142,                 1.6398,                 1.3253,                0.96692,             0.00050194,             0.00050194,             0.00050194
                      6,                 1.6112,                 1.3232,                0.98022,                0.32638,                0.23273,                0.21216,                0.11614,                 1.6113,                 1.2777,                0.96655,             0.00043126,             0.00043126,             0.00043126
                      7,                 1.5933,                 1.2809,                0.97451,                0.33517,                0.24159,                0.21768,                0.12146,                 1.5835,                 1.2518,                0.96233,             0.00036057,             0.00036057,             0.00036057
                      8,                 1.5743,                 1.2513,                0.96993,                0.31279,                0.23625,                0.21727,                0.12159,                 1.6092,                  1.245,                 0.9595,             0.00028988,             0.00028988,             0.00028988
                      9,                 1.5552,                 1.2212,                0.96432,                0.34304,                0.24524,                0.22938,                0.12846,                 1.5641,                  1.204,                0.95108,              0.0002192,              0.0002192,              0.0002192
                     10,                 1.5402,                 1.2009,                0.96003,                0.33448,                0.25271,                0.23287,                0.13187,                 1.5476,                 1.1942,                0.95115,             0.00014851,             0.00014851,             0.00014851
